document_id,year,download_filename,split,selection_stratum,label_provenance,valid_votes,invalid_votes,source_hash_consistent,document_contract,main_terms,non_life_business,treaty_placement,private_market,status,qualifies,document_contract_votes,main_terms_votes,non_life_business_votes,treaty_placement_votes,private_market_votes
2001-1013698-0001133884-01-500497-gex10_9-25483.txt,2001,2001-1013698-0001133884-01-500497-gex10_9-25483.txt,development,historical_disagreement,autonomous_silver_v1,4,2,true,fail,fail,unclear,unclear,unclear,rejected,false,pass:0;fail:4;unclear:0,pass:0;fail:4;unclear:0,pass:3;fail:0;unclear:1,pass:0;fail:0;unclear:4,pass:3;fail:0;unclear:1
2001-1064063-0000893220-01-500565-w52468ex10-53.txt,2001,2001-1064063-0000893220-01-500565-w52468ex10-53.txt,holdout,clear_reinsurance_candidate,autonomous_silver_v1,5,1,true,pass,pass,pass,pass,pass,qualified,true,pass:5;fail:0;unclear:0,pass:5;fail:0;unclear:0,pass:5;fail:0;unclear:0,pass:5;fail:0;unclear:0,pass:5;fail:0;unclear:0
2001-869486-0000912057-01-514491-a2048567zex-10_34.txt,2001,2001-869486-0000912057-01-514491-a2048567zex-10_34.txt,holdout,life_health_or_annuity,autonomous_silver_v1,6,0,true,fail,unclear,fail,pass,pass,rejected,false,pass:2;fail:4;unclear:0,pass:3;fail:3;unclear:0,pass:2;fail:4;unclear:0,pass:6;fail:0;unclear:0,pass:5;fail:0;unclear:1
2001-875159-0000930413-01-501381-c22070_ex10-49.txt,2001,2001-875159-0000930413-01-501381-c22070_ex10-49.txt,development,historical_disagreement,autonomous_silver_v1,5,0,true,fail,fail,unclear,unclear,pass,rejected,false,pass:0;fail:5;unclear:0,pass:0;fail:5;unclear:0,pass:0;fail:0;unclear:5,pass:0;fail:0;unclear:5,pass:5;fail:0;unclear:0
2001-908139-0000908139-01-500005-exhibit07.txt,2001,2001-908139-0000908139-01-500005-exhibit07.txt,development,life_health_or_annuity,autonomous_silver_v1,6,0,true,fail,fail,unclear,unclear,pass,rejected,false,pass:0;fail:6;unclear:0,pass:0;fail:6;unclear:0,pass:0;fail:3;unclear:3,pass:0;fail:0;unclear:6,pass:6;fail:0;unclear:0
2001-927314-0000950123-01-003010-y46546ex10-12.txt,2001,2001-927314-0000950123-01-003010-y46546ex10-12.txt,development,historical_disagreement,autonomous_silver_v1,6,0,true,fail,fail,unclear,unclear,pass,rejected,false,pass:0;fail:6;unclear:0,pass:1;fail:5;unclear:0,pass:1;fail:0;unclear:5,pass:0;fail:0;unclear:6,pass:4;fail:0;unclear:2
2002-1013698-0001133884-02-000357-gex10_24-27854.txt,2002,2002-1013698-0001133884-02-000357-gex10_24-27854.txt,development,historical_disagreement,autonomous_silver_v1,6,0,true,fail,fail,unclear,unclear,pass,rejected,false,pass:0;fail:6;unclear:0,pass:0;fail:6;unclear:0,pass:0;fail:0;unclear:6,pass:0;fail:0;unclear:6,pass:6;fail:0;unclear:0
2002-1044566-0000950137-02-006302-c73016exv10w1.txt,2002,2002-1044566-0000950137-02-006302-c73016exv10w1.txt,development,clear_reinsurance_candidate,autonomous_silver_v1,6,0,true,pass,pass,pass,pass,pass,qualified,true,pass:6;fail:0;unclear:0,pass:6;fail:0;unclear:0,pass:6;fail:0;unclear:0,pass:6;fail:0;unclear:0,pass:6;fail:0;unclear:0
2002-1091748-0001125282-02-003342-b321019ex_10-3b.txt,2002,2002-1091748-0001125282-02-003342-b321019ex_10-3b.txt,development,facultative_edge,autonomous_silver_v1,6,0,true,fail,pass,unclear,unclear,pass,rejected,false,pass:0;fail:6;unclear:0,pass:5;fail:1;unclear:0,pass:1;fail:0;unclear:5,pass:0;fail:0;unclear:6,pass:6;fail:0;unclear:0
2002-1158449-0000898430-02-003171-dex1047.txt,2002,2002-1158449-0000898430-02-003171-dex1047.txt,holdout,amendment_or_endorsement,autonomous_silver_v1,6,0,true,fail,fail,unclear,unclear,pass,rejected,false,pass:0;fail:6;unclear:0,pass:0;fail:6;unclear:0,pass:1;fail:0;unclear:5,pass:0;fail:0;unclear:6,pass:6;fail:0;unclear:0
