record_id,year,download_filename,status,qualifies,direct_evidence_valid,primary_rejection_reason,document_contract,main_terms,non_life_business,treaty_placement,private_market,model_count,models,input_tokens,output_tokens,cost_usd,budget_charged_usd,prompt_version,error
2001:2:2001-947354-0000947354-01-000002-0004.txt,2001,2001-947354-0000947354-01-000002-0004.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:3:2001-947354-0000947354-01-000002-0005.txt,2001,2001-947354-0000947354-01-000002-0005.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:4:2001-947354-0000947354-01-000002-0003.txt,2001,2001-947354-0000947354-01-000002-0003.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:11:2001-1091748-0000950117-01-000614-0003.txt,2001,2001-1091748-0000950117-01-000614-0003.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:13:2001-760498-0000930661-01-000850-0004.txt,2001,2001-760498-0000930661-01-000850-0004.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:14:2001-1091748-0000950117-01-000614-0008.txt,2001,2001-1091748-0000950117-01-000614-0008.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:17:2001-5513-0000931763-01-000575-0013.txt,2001,2001-5513-0000931763-01-000575-0013.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:18:2001-5513-0000931763-01-000575-0014.txt,2001,2001-5513-0000931763-01-000575-0014.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:19:2001-809801-0000809801-01-000001-0003.txt,2001,2001-809801-0000809801-01-000001-0003.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:20:2001-3642-0000003642-01-000004-0003.txt,2001,2001-3642-0000003642-01-000004-0003.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:24:2001-1006868-0000891092-01-000537-0010.txt,2001,2001-1006868-0000891092-01-000537-0010.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:25:2001-1006868-0000891092-01-000537-0009.txt,2001,2001-1006868-0000891092-01-000537-0009.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:27:2001-1026974-0000225300-01-000021-0002.txt,2001,2001-1026974-0000225300-01-000021-0002.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:32:2001-1091748-0000950117-01-000614-0007.txt,2001,2001-1091748-0000950117-01-000614-0007.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:34:2001-320335-0000931763-01-000503-0003.txt,2001,2001-320335-0000931763-01-000503-0003.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:36:2001-911576-0000931763-01-000598-0002.txt,2001,2001-911576-0000931763-01-000598-0002.txt,missing_file,,,,,,,,,0,,0,0,0.00000000,0.00000000,classifier-v1,
2001:8:2001-777199-0000914039-01-000143-y47400kex10-2.txt,2001,2001-777199-0000914039-01-000143-y47400kex10-2.txt,rejected,False,True,life_like_business,pass,pass,fail,pass,pass,1,z-ai/glm-5.3-flash,6072,690,0.00051518,0.00051518,classifier-v1,
2001:16:2001-908139-0000908139-01-500005-exhibit08.txt,2001,2001-908139-0000908139-01-500005-exhibit08.txt,rejected,False,True,amendment_or_endorsement,fail,fail,fail,pass,pass,1,z-ai/glm-5.3-flash,2893,614,0.00026033,0.00026033,classifier-v1,
